R, G, B, COLOUR
199.81, 100.15, 44.29, MY_ORANGE
199.81, 100.15, 44.96, MY_ORANGE
199.81, 101.07, 44.96, MY_ORANGE
202.67, 105.71, 47.64, MY_ORANGE
243.82, 86.05, 53.01, MY_RED
243.82, 87.1, 53.01, MY_RED
208.38, 73.25, 55.7, MY_RED
214.09, 76.04, 57.04, MY_RED
210.28, 78.82, 59.72, MY_RED
211.23, 78.82, 59.72, MY_RED
214.09, 79.75, 59.72, MY_RED
215.04, 79.75, 59.72, MY_RED
280.72, 142.72, 61.07, MY_ORANGE
280.72, 143.77, 61.07, MY_ORANGE
281.84, 143.77, 61.07, MY_ORANGE
284.08, 146.91, 61.74, MY_ORANGE
284.08, 147.96, 61.74, MY_ORANGE
284.08, 146.91, 62.41, MY_ORANGE
233.12, 90.87, 63.75, MY_RED
234.07, 91.8, 64.42, MY_RED
232.63, 87.1, 71.13, MY_RED
238.22, 87.1, 71.13, MY_RED
242.7, 88.15, 71.13, MY_RED
246.05, 88.15, 71.8, MY_RED
247.17, 88.15, 71.8, MY_RED
248.29, 87.1, 72.47, MY_RED
248.29, 88.15, 72.47, MY_RED
249.41, 88.15, 73.14, MY_RED
250.53, 88.15, 73.14, MY_RED
251.64, 88.15, 73.14, MY_RED
251.64, 88.15, 73.82, MY_RED
78.97, 140.95, 87.24, MY_GREEN
79.93, 140.95, 87.24, MY_GREEN
71.36, 138.16, 90.59, MY_GREEN
71.36, 139.09, 91.26, MY_GREEN
72.31, 139.09, 91.26, MY_GREEN
79.93, 143.73, 91.26, MY_GREEN
79.93, 144.65, 91.26, MY_GREEN
78.97, 143.73, 91.93, MY_GREEN
227.41, 94.58, 105.36, MY_RED
227.41, 95.51, 106.03, MY_RED
228.36, 98.29, 106.7, MY_RED
229.31, 99.22, 106.7, MY_RED
228.36, 99.22, 107.37, MY_RED
87.24, 152.16, 121.46, MY_GREEN
88.36, 152.16, 121.46, MY_GREEN
87.24, 153.21, 121.46, MY_GREEN
88.36, 153.21, 121.46, MY_GREEN
88.36, 153.21, 122.13, MY_GREEN
89.47, 153.21, 122.13, MY_GREEN
88.36, 153.21, 122.8, MY_GREEN
98.42, 162.65, 133.54, MY_GREEN
98.42, 163.7, 133.54, MY_GREEN
249.29, 194.73, 150.32, MY_PINK
266.42, 208.64, 157.03, MY_PINK
269.27, 211.42, 157.7, MY_PINK
269.27, 212.35, 157.7, MY_PINK
214.09, 229.96, 201.99, MY_WHITE
215.04, 229.96, 201.99, MY_WHITE
215.04, 230.89, 201.99, MY_WHITE
80.53, 143.77, 202.66, MY_BLUE
81.64, 144.81, 202.66, MY_BLUE
214.09, 229.96, 202.66, MY_WHITE
81.64, 145.86, 203.33, MY_BLUE
269.54, 199.38, 207.36, MY_PINK
270.66, 199.38, 207.36, MY_PINK
269.54, 199.38, 208.03, MY_PINK
270.66, 199.38, 208.03, MY_PINK
271.78, 199.38, 208.03, MY_PINK
270.66, 200.43, 208.03, MY_PINK
271.78, 200.43, 208.03, MY_PINK
274.01, 201.48, 208.7, MY_PINK
212.18, 231.82, 212.05, MY_WHITE
71.36, 136.31, 214.07, MY_BLUE
72.31, 136.31, 214.74, MY_BLUE
82.76, 147.96, 220.78, MY_BLUE
82.76, 149.01, 220.78, MY_BLUE
61.85, 134.45, 225.47, MY_BLUE
62.8, 134.45, 225.47, MY_BLUE
62.8, 134.45, 226.14, MY_BLUE
295.26, 287.53, 233.53, MY_WHITE
295.26, 287.53, 234.2, MY_WHITE
296.38, 287.53, 234.2, MY_WHITE
272.89, 274.94, 241.58, MY_WHITE
272.89, 275.99, 241.58, MY_WHITE